,label,day,brand,type,deliveried ,unique-opens,unique-opens-pc,uniqe-clicks,unique-clicks-pc,
,CBUS - 2024 Teaser Statements - Retirement Scheme,25-Sep-24,Cbus,Comms,695,,59.34,,15.95,
,CBUS - 2024 Teaser Statements - Defined Benefit,25-Sep-24,Cbus,Comms,15,,80.00,,20.00,
,CBUS - 2024 Statements - NON RIE [Consolidate],7-Oct-24,Cbus,Comms,"2,348",,78.78,,34.71,
,CBUS - 2024 Statements - NON RIE [Advice],7-Oct-24,Cbus,Comms,"3,652",,72.26,,26.18,
,CBUS - 2024 Statements - NON RIE [SIS],7-Oct-24,Cbus,Comms,"2,034",,80.15,,41.00,
,CBUS - 2024 Statements - NO VIDEO,7-Oct-24,Cbus,Comms,"3,584",,60.17,,17.94,
,CBUS - 2024 Statements - RIE,8-Oct-24,Cbus,Comms,"327,862","172,086",52.49,"58,732",17.91,
,CBUS - 2024 Statements - NON RIE [BINDING],10-Oct-24,Cbus,Comms,"220,241",,59.73,,17.20,
,MEDIA - 2024 Statements - NON RIE [Advice],15-Oct-24,Cbus,Comms,141,,88.65,,27.60,
,MEDIA - 2024 Statements - RIE,15-Oct-24,Cbus,Comms,"24,092",,73.97,,24.93,
,MEDIA - 2024 Statements - NON RIE [Binding],15-Oct-24,Cbus,Comms,"18,497",,69.76,,19.88,
,CBUS - 2024 Statements - Defined Benefit [Advice] ,15-Oct-24,Cbus,Comms,8,,N/A,,50.00,
,ALL BRANDS - 2024 AMM - eDM,22-Oct-24,Cbus,Comms,"45,474",,56.68,,0.64,
,ALL BRANDS - 2024 AMM - eDM,22-Oct-24,Media,Comms,"4,621",,60.38,,1.34,
,ALL BRANDS - WEBINAR - NOV 24 - Boost your super - Invite,29-Oct-24,Cbus,Event,"9,414",,41.70,,1.27,
,ALL BRANDS - WEBINAR - NOV 24 - Boost your super - Invite,29-Oct-24,Media,Event,323,,53.56,,1.24,
,ALL BRANDS - WEBINAR - NOV 24 - Investments in super - Invite,29-Oct-24,Cbus,Event,"5,027",,42.00,,5.00,
,ALL BRANDS - WEBINAR - NOV 24 - Investments in super - Invite,29-Oct-24,Media,Event,131,,63.00,,26.00,
,MEDIA - 2024 Retarget Statements - RIE,8-Nov-24,Media,Comms,"23,537",,58.81,,17.86,
,CBUS - 2024 Retarget Statements - RIE,11-Nov-24,Cbus,Comms,"307,493",,50.48,,11.66,
,ALL BRANDS - WEBINAR - NOV 24 - Super Health Check - Invite,12-Nov-24,Cbus,Event,"11,557",,56.00,,0.28,
,ALL BRANDS - WEBINAR - NOV 24 - VIC Retirement Series - Reminder,18-Nov-24,Media,Event,"1,397",,58.95,,3.45,
,ALL BRANDS - WEBINAR - NOV 24 - VIC Retirement Series - Reminder,18-Nov-24,Cbus,Event,"13,052",,51.82,,1.96,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 3 - A,19-Nov-24,Cbus,Marketing,"2,674",,50.54,,8.96,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 3 ,19-Nov-24,Cbus,Marketing,"2,524",,57.63,,9.41,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 3 - B,19-Nov-24,Media,Marketing,704,,55.83,,11.37,
,"ALL BRANDS - SIS Acquisition Nov 2024 - Segment 1
",19-Nov-24,Media,Marketing,611,,67.82,,12.05,
,"ALL BRANDS - SIS Acquisition Nov 2024 - Segment 1
",19-Nov-24,Cbus,Marketing,"4,812",,58.82,,10.42,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 2,19-Nov-24,Media,Marketing,"1,244",,53.86,,5.63,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 2,19-Nov-24,Media,Marketing,"9,460",,51.77,,4.59,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 4,19-Nov-24,Media,Marketing,401,,64.29,,17.86,
,ALL BRANDS - SIS Acquisition Nov 2024 - Segment 4,19-Nov-24,Cbus,Marketing,"3,147",,59.04,,18.49,
,ALL BRANDS - WEBINAR - DEC 24 - Boost your super - Invite,19-Nov-24,Cbus,Event,"9,605",,37.04,,0.79,
,ALL BRANDS - WEBINAR - DEC 24 - Boost your super - Invite,19-Nov-24,Media,Event,136,,41.18,,1.47,
,"ALL BRANDS - WEBINAR - DEC 24 - Transition to Retirement - Invite
",19-Nov-24,Cbus,Event,"8,370",,53.71,,3.07,
,"ALL BRANDS - WEBINAR - DEC 24 - Transition to Retirement - Invite
",19-Nov-24,Media,Event,"1,299",,63.16,,4.18,
,CBUS - 2024 Statements - Retirement Scheme [Advice],19-Nov-24,Cbus,Comms,439,,66.51,,46.92,
,CBUS - 2024 Statements - Retirement Scheme [Binding],19-Nov-24,Cbus,Comms,577,,64.12,,35.88,
,MEDIA - 2024 Statements Wave 2 - RIE,22-Nov-24,Media,Comms,"1,614",,70.26,,23.37,
,MEDIA - 2024 Statements Wave 2 - NON RIE [Binding],22-Nov-24,Media,Comms,"2,083",,70.96,,28.42,
,CBUS - Young Cohort 2024 - Nov eDM,26-Nov-24,Cbus,Marketing,"160,366",,34.78,,0.36,
,CBUS - Member Needs and Insurance Survey Nov 24 - PILOT GROUP - Invite,28-Nov-24,Cbus,Survey,"9,632",,26.18,,0.24,
,CBUS - 2024 Statements Wave 2 - RIE,29-Nov-24,Cbus,Comms,"13,396",,56.93,,17.34,
,CBUS - 2024 Statements Wave 2 - NON RIE,29-Nov-24,Cbus,Comms,"8,716",,54.80,,13.87,
,CBUS - Member Needs and Insurance Survey Nov 24 - REMAINDER GROUP - Invite,29-Nov-24,Cbus,Survey,"86,518",,25.69,,0.23,
,CBUS - Member Needs and Insurance Survey Nov 24 - REMINDER #1 ,5-Dec-24,Cbus,Survey,"82,378",,29.90,,36.60,
,CBUS - Member Needs and Insurance Survey Nov 24 - REMINDER #2,13-Dec-24,Cbus,Survey,"62,753",,29.00,,1.48,
,CBUS - Member Needs and Insurance Survey Nov 24 - Wave 2 - Invite,13-Dec-24,Cbus,Survey,"19,697",,72.00,,1.03,
,CBUS - Member Needs and Insurance Survey Nov 24 - Wave 2 - REMINDER,19-Dec-24,Cbus,Survey,"19,548",,70.00,,0.97,
,CBUS - Member Needs and Insurance Survey Nov 24 - REMINDER #3 ,19-Dec-24,Cbus,Survey,"62,524",,23.90,,2.61,
,ALL BRANDS - WEBINAR - JAN 25 - Financial Literacy - Invite,7-Jan-25,Cbus,Event,"9,518",,2.40,,14.30,
,ALL BRANDS - WEBINAR - JAN 25 - Financial Literacy - Invite,8-Jan-25,Meida,Event,236,,97.00,,87.00,
,ALL BRANDS - WEBINAR - JAN 25 - Boost your super - V2 Invite ,8-Jan-25,Cbus,Event,894,,4,,6.70,
,ALL BRANDS - WEBINAR - JAN 25 - Boost your super - V2 Invite ,8-Jan-25,Media,Event,24,16,66.67,1,4.17,
,MEDIA - WEBINAR - JAN 25 - Insurance and Ben - V2 Invite,8-Jan-25,Media,Event,"5,895",,52.93,,1.24,
,CBUS - TAS coordinator introduction,14-Jan-25,Cbus,Other,"11,109","3,903",35.13,56.00,0.50,
,"ALL BRANDS - WEBINAR - JAN 25 - Boost your super - V3 Invite  
",16-Jan-25,Cbus,Event,"7,938","4,083",51.44,204,2.57,
,"ALL BRANDS - WEBINAR - JAN 25 - Boost your super - V3 Invite  
",16-Jan-25,Media,Event,719,450,62.59,40,5.56,
,CBUS - Insurance SEN catch-up [Jan 25] v2 ,21-Jan-25,Cbus,Comms,"2,887","1,382",47.87,211,7.31,
,CBUS - WEBINAR - FEB 25 - Discover your insurance options within super - Invite ,29-Jan-25,Cbus,Event,"9,541","4,850",50.83,123,1.29,
,ALL BRANDS - WEBINAR - FEB 25 - Boost your super and save on tax - Invite,29-Jan-25,Cbus,Event,"8,951","3,886",43.41,114,1.27,
,ALL BRANDS - WEBINAR - FEB 25 - Boost your super and save on tax - Invite,29-Jan-25,Media,Event,654,365,55.81,12,1.83,
,ALL BRANDS - WEBINAR - FEB 25 - SA Retirement Series - Invite,30-Jan-25,Cbus,Event,"5,071","2,779",54.80,179,3.53,
,ALL BRANDS - WEBINAR - FEB 25 - SA Retirement Series - Invite,30-Jan-25,Media,Event,918,552,60.13,40,4.36,
,"ALL BRANDS - WEBINAR - FEB 25 - Super Health Check seminar - Invite
",31-Jan-25,Cbus,Event,"6,307","3,263",51.74,197,3.12,
,"ALL BRANDS - WEBINAR - FEB 25 - Super Health Check seminar - Invite
",31-Jan-25,Media,Event,872,549,62.96,45,5.16,
